species,survey_year,fmp_sub_area,rpn_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci,akfin_load_date
Spiny dogfish,2001,WY,WY300500,3,0,0,0,0,0,0,0,11991.7440591094,9540.76839770318,14624.0775323205,2022-07-22T00:16:12Z
Spiny dogfish,2002,AI,AI0,25,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,AI,AI100,42,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,AI,AI200,16,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,AI,AI300500,13,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,BS,BS0,3,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,BS,BS100,59,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,BS,BS200400,31,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,BS,BS400600,7,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2002,CGOA,CG0,116,43,1754.68082004596,1761.2760919089,6.59527186293712,462.643651640847,1023.56854369703,3026.10758649402,3597.15036702721,2191.06621817854,6037.50611242004,2022-07-22T00:16:12Z
Spiny dogfish,2002,CGOA,CG100,181,59,1624.22655636733,1621.3234140157,-2.90314235162418,339.739469063857,1086.76775120277,2460.23903116246,3597.15036702721,2191.06621817854,6037.50611242004,2022-07-22T00:16:12Z
Spiny dogfish,2002,CGOA,CG200,68,9,213.432402777479,214.550861102605,1.11845832512594,102.213730717506,80.7299232787473,551.159494763552,3597.15036702721,2191.06621817854,6037.50611242004,2022-07-22T00:16:12Z
Spiny dogfish,2002,CGOA,CG300500,8,0,0,0,0,0,0,0,3597.15036702721,2191.06621817854,6037.50611242004,2022-07-22T00:16:12Z
Spiny dogfish,2002,EY/SE,EY/SE0,17,13,1637.92545937511,1623.09722307457,-14.8282363005378,424.368816642001,874.043787934546,2611.65748698923,3620.56339549672,2294.54814730496,5397.10776165496,2022-07-22T00:16:12Z
Spiny dogfish,2002,EY/SE,EY/SE100,69,61,1725.26823301525,1726.85757879174,1.58934577649165,249.600261407064,1276.99682338333,2271.87254585803,3620.56339549672,2294.54814730496,5397.10776165496,2022-07-22T00:16:12Z
Spiny dogfish,2002,EY/SE,EY/SE200,21,18,261.496748926658,263.429146095681,1.93239716902337,83.1605097304073,143.507535987078,495.80016958448,3620.56339549672,2294.54814730496,5397.10776165496,2022-07-22T00:16:12Z
Spiny dogfish,2002,EY/SE,EY/SE300500,9,2,7.03003231109348,7.17944753472537,0.149415223631893,4.4001615300308,0,17.7775592232263,3620.56339549672,2294.54814730496,5397.10776165496,2022-07-22T00:16:12Z
Spiny dogfish,2002,WGOA,WG0,65,5,32.1964672446548,32.362768699714,0.166301455059156,13.9821298888006,12.7126565967895,70.7610238722163,35.3228442192188,12.7126565967895,92.4327903885047,2022-07-22T00:16:12Z
Spiny dogfish,2002,WGOA,WG100,48,1,3.05795525231012,2.96007551950477,-0.0978797328053553,3.042355070452,0,21.6717665162884,35.3228442192188,12.7126565967895,92.4327903885047,2022-07-22T00:16:12Z
Spiny dogfish,2002,WGOA,WG200,8,0,0,0,0,0,0,0,35.3228442192188,12.7126565967895,92.4327903885047,2022-07-22T00:16:12Z
Spiny dogfish,2002,WGOA,WG300500,5,0,0,0,0,0,0,0,35.3228442192188,12.7126565967895,92.4327903885047,2022-07-22T00:16:12Z
Spiny dogfish,2002,WY,WY0,19,19,4490.11635642855,4487.22064412628,-2.89571230226466,572.531547652655,3258.1972086515502,5540.77324295832,8402.42576425772,5719.46504532716,11485.6351077248,2022-07-22T00:16:12Z
Spiny dogfish,2002,WY,WY100,40,32,3243.78613527277,3229.97994271511,-13.8061925576558,622.379903667599,2186.80481166961,4672.67334119542,8402.42576425772,5719.46504532716,11485.6351077248,2022-07-22T00:16:12Z
Spiny dogfish,2002,WY,WY200,11,8,680.387514819139,676.229161860776,-4.15835295836291,242.152445388674,274.463025005996,1254.67519023777,8402.42576425772,5719.46504532716,11485.6351077248,2022-07-22T00:16:12Z
Spiny dogfish,2002,WY,WY300500,3,1,8.75666666666667,8.99601555555556,0.239348888888889,7.13742177687341,0,17.5133333333333,8402.42576425772,5719.46504532716,11485.6351077248,2022-07-22T00:16:12Z
Spiny dogfish,2003,AI,AI0,28,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
Spiny dogfish,2003,AI,AI100,34,0,0,0,0,0,0,0,0,0,0,2022-07-22T00:16:12Z
