Year,Sex,PCL,FL,TL,TLcm,TLbin,Weight,Frequency,Source,Gear,LAT,LONG,FMP
2000,1,1374.59937,1520,1575.0971,157.50971,150,41.81991375,1,RACE_TWL,Bottom Trawl,57.74545,-173.88721,BS
2000,2,1374.59937,1520,1575.0971,157.50971,150,41.81991375,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1378.91,,1580,158,150,26.9,1,RACE_TWL,Bottom Trawl,59.29383,-174.4505,BS
2000,1,1383.678869,1530,1585.4241,158.54241,150,34,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
2000,2,1383.678869,1530,1585.4241,158.54241,150,34.4,1,RACE_TWL,Bottom Trawl,59.39156,-178.1792,BS
2000,2,1383.678869,1530,1585.4241,158.54241,150,42.64650291,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1383.678869,1530,1585.4241,158.54241,150,42.64650291,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1383.678869,1530,1585.4241,158.54241,150,42.64650291,1,RACE_TWL,Bottom Trawl,58.35488,-175.4118,BS
2000,1,1383.678869,1530,1585.4241,158.54241,150,42.64650291,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1392.758367,1540,1595.7511,159.57511,150,23.4,1,RACE_TWL,Bottom Trawl,59.70383,-178.5381,BS
2000,2,1392.758367,1540,1595.7511,159.57511,150,25.1,1,RACE_TWL,Bottom Trawl,58.52049,-176.09599,BS
2000,2,1392.758367,1540,1595.7511,159.57511,150,43.48390378,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1392.758367,1540,1595.7511,159.57511,150,43.48390378,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1401.837866,1550,1606.0781,160.60781,160,21.6,1,RACE_TWL,Bottom Trawl,58.55993,-174.84,BS
2000,1,1401.837866,1550,1606.0781,160.60781,160,35.7,1,RACE_TWL,Bottom Trawl,56.12397,-169.239,BS
2000,2,1401.837866,1550,1606.0781,160.60781,160,37.3,1,RACE_TWL,Bottom Trawl,58.35743,-175.4196,BS
2000,2,1401.837866,1550,1606.0781,160.60781,160,44.33218645,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,2,1401.837866,1550,1606.0781,160.60781,160,44.33218645,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1410.917364,1560,1616.4051,161.64051,160,45.19142098,1,RACE_TWL,Bottom Trawl,57.74545,-173.88721,BS
2000,2,1410.917364,1560,1616.4051,161.64051,160,45.19142098,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1429.076361,1580,1637.0591,163.70591,160,46.94302591,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1429.076361,1580,1637.0591,163.70591,160,46.94302591,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1429.076361,1580,1637.0591,163.70591,160,46.94302591,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1438.155859,1590,1647.3861,164.73861,160,29.3,1,RACE_TWL,Bottom Trawl,58.52049,-176.09599,BS
2000,1,1449.246,,1660,166,160,30.9,1,RACE_TWL,Bottom Trawl,54.42094,-166.5864,BS
2000,1,1456.314856,1610,1668.0401,166.80401,160,49.65432395,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1456.314856,1610,1668.0401,166.80401,160,49.65432395,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1465.394354,1620,1678.3671,167.83671,160,35.3,1,RACE_TWL,Bottom Trawl,57.63546,-174.19231,BS
2000,1,1465.394354,1620,1678.3671,167.83671,160,50.58074104,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1465.394354,1620,1678.3671,167.83671,160,50.58074104,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1465.394354,1620,1678.3671,167.83671,160,50.58074104,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1474.473853,1630,1688.6941,168.86941,160,51.51860044,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1483.553351,1640,1699.0211,169.90211,160,52.4679722,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1483.553351,1640,1699.0211,169.90211,160,52.4679722,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1492.63285,1650,1709.3481,170.93481,170,43.6,1,RACE_TWL,Bottom Trawl,58.35743,-175.4196,BS
2000,1,1492.63285,1650,1709.3481,170.93481,170,53.42892637,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1492.63285,1650,1709.3481,170.93481,170,53.42892637,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1492.63285,1650,1709.3481,170.93481,170,53.42892637,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1492.63285,1650,1709.3481,170.93481,170,53.42892637,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1493.206,,1710,171,170,53,1,RACE_TWL,Bottom Trawl,57.74611,-173.9001,BS
2000,2,1501.712348,1660,1719.6751,171.96751,170,54.401533,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1501.712348,1660,1719.6751,171.96751,170,54.401533,1,RACE_TWL,Bottom Trawl,58.35488,-175.4118,BS
2000,1,1510.791846,1670,1730.0021,173.00021,170,39.3,1,RACE_TWL,Bottom Trawl,58.35743,-175.4196,BS
2000,2,1510.791846,1670,1730.0021,173.00021,170,39.8,1,RACE_TWL,Bottom Trawl,58.52142,-176.0954,BS
2000,1,1510.791846,1670,1730.0021,173.00021,170,43.4,1,RACE_TWL,Bottom Trawl,57.74668,-173.8848,BS
