species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (with Inside waters),2010,BSAI,217,21,0.0010139773742930285,0.0010334482047359172,1.9470830442888665e-5,2.5786617374004886e-4,6.352229978552878e-4,0.001715525505568389
Sleeper shark,FMP (with Inside waters),2010,CAN,170,4,3.7171644909610354e-5,3.687926546430177e-5,-2.9237944530858493e-7,1.930868287511574e-5,1.4853234528780553e-5,9.678620998306302e-5
Sleeper shark,FMP (with Inside waters),2010,GOA,755,67,0.002009576337669792,0.002013082439294399,3.5061016246066418e-6,3.5923639778276547e-4,0.0014439227047547613,0.002903843876608564
Sleeper shark,FMP (with Inside waters),2010,WC,83,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2011,BSAI,216,12,4.692040733131282e-4,4.6798847005772925e-4,-1.2156032553989706e-6,1.276265406371817e-4,2.7294278844280066e-4,7.800551264433613e-4
Sleeper shark,FMP (with Inside waters),2011,CAN,170,3,3.0203556871535713e-5,2.980515259913271e-5,-3.98404272403001e-7,1.6832769054972812e-5,1.000110085014829e-5,8.069946235696594e-5
Sleeper shark,FMP (with Inside waters),2011,GOA,760,63,0.0020497225253788645,0.0020474042612355445,-2.3182641433199154e-6,3.7649460267231207e-4,0.0014778098394591863,0.0030014106703882223
Sleeper shark,FMP (with Inside waters),2011,WC,134,1,6.261752740515944e-5,6.12035683937779e-5,-1.4139590113815324e-6,6.172436816480227e-5,0,3.1625685712643943e-4
Sleeper shark,FMP (with Inside waters),2012,BSAI,221,7,5.718837310952632e-4,5.546023198142772e-4,-1.7281411280986006e-5,2.3463817181460867e-4,2.8479256153728745e-4,0.0013195402906122566
Sleeper shark,FMP (with Inside waters),2012,CAN,168,2,3.00503343099692e-5,3.033806582733949e-5,2.8773151737029114e-7,2.113372549928162e-5,0,1.0825140408454774e-4
Sleeper shark,FMP (with Inside waters),2012,GOA,767,54,0.0018096766578718359,0.0018178139161609654,8.137258289129526e-6,2.906047963762596e-4,0.0013305084651568362,0.0024990048127480273
Sleeper shark,FMP (with Inside waters),2012,WC,94,1,5.4859382339774544e-5,5.42840318880934e-5,-5.753504516811436e-7,5.530372239553344e-5,0,3.293127257116463e-4
Sleeper shark,FMP (with Inside waters),2013,BSAI,216,6,2.7364440038629424e-4,2.787883992530724e-4,5.143998866778178e-6,1.1586512423408197e-4,1.1525670794483324e-4,5.865667972728106e-4
Sleeper shark,FMP (with Inside waters),2013,CAN,169,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2013,GOA,759,71,0.002555149990222554,0.0025658643481026276,1.0714357880073442e-5,3.910187780132052e-4,0.0018702280778647587,0.0034169816013760253
Sleeper shark,FMP (with Inside waters),2013,WC,118,0,0,0,0,0,0,0
