species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Sleeper shark,2006,AI,AI200,15,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2006,AI,AI300500,14,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2006,BS,BS0,30,1,111.70143838842921,106.6148161172619,-5.086622271167315,104.99246833092336,0,666.301846388899,769.6799945164843,306.0144019975181,2117.5318842377924
Sleeper shark,2006,BS,BS100,60,8,616.0758950292875,616.2924905325127,0.21659550322522136,241.36127380000937,285.1125200631766,1345.2848094764704,769.6799945164843,306.0144019975181,2117.5318842377924
Sleeper shark,2006,BS,BS200400,33,9,47.16742934304773,46.772687866709695,-0.3947414763380337,18.655212646368145,20.90188193434155,105.9452283724231,769.6799945164843,306.0144019975181,2117.5318842377924
Sleeper shark,2006,BS,BS400600,7,0,0,0,0,0,0,0,769.6799945164843,306.0144019975181,2117.5318842377924
Sleeper shark,2006,CGOA,CG0,118,13,183.57204280503896,181.73840579368382,-1.8336370113551368,75.85346164704637,88.11527636811013,467.16131302158675,1049.7062554525878,650.2737345285634,1789.5912751628975
Sleeper shark,2006,CGOA,CG100,179,40,458.8592016546074,459.35551253728113,0.4963108826737539,90.94389802626478,307.44589691621843,667.1369697088226,1049.7062554525878,650.2737345285634,1789.5912751628975
Sleeper shark,2006,CGOA,CG200,76,36,389.93714793982235,392.79623527028673,2.8590873304643765,85.078564812699355,254.7125612442349,607.9552738558023,1049.7062554525878,650.2737345285634,1789.5912751628975
Sleeper shark,2006,CGOA,CG300500,10,2,15.795780899169756,15.816101851336043,0.020320952166287043,10.170747961998492,0,47.33771857668586,1049.7062554525878,650.2737345285634,1789.5912751628975
Sleeper shark,2006,EY/SE,EY/SE0,17,0,0,0,0,0,0,0,9.082188861165516,0,47.880694805624096
Sleeper shark,2006,EY/SE,EY/SE100,69,1,1.3544506000537289,1.296871347607045,-0.057579252446683826,1.3173653927333162,0,8.122336428256693,9.082188861165516,0,47.880694805624096
Sleeper shark,2006,EY/SE,EY/SE200,20,1,7.926107636971729,7.7853175135584705,-0.14079012341325825,7.675093084635089,0,39.7583583773674,9.082188861165516,0,47.880694805624096
Sleeper shark,2006,EY/SE,EY/SE300500,8,0,0,0,0,0,0,0,9.082188861165516,0,47.880694805624096
Sleeper shark,2006,WGOA,WG0,68,15,174.5951288915894,175.81778793957588,1.2226590479864683,63.24297564159933,87.57970260269205,370.05283318919913,239.78558961730238,100.51858486006046,564.4237150037847
Sleeper shark,2006,WGOA,WG100,48,7,35.901046235628144,36.472996656943984,0.5719504213158402,16.25886873360045,12.938882257368402,84.94888288766458,239.78558961730238,100.51858486006046,564.4237150037847
Sleeper shark,2006,WGOA,WG200,6,1,27.169507261754756,27.49480502078251,0.32529775902775526,24.403543961093867,0,109.42199892692089,239.78558961730238,100.51858486006046,564.4237150037847
Sleeper shark,2006,WGOA,WG300500,3,0,0,0,0,0,0,0,239.78558961730238,100.51858486006046,564.4237150037847
Sleeper shark,2006,WY,WY0,19,0,0,0,0,0,0,0,24.16596143211177,0,78.0104034515847
Sleeper shark,2006,WY,WY100,37,2,13.276740467355854,13.399564156996318,0.1228236896404642,9.217693662709095,0,44.98717930337631,24.16596143211177,0,78.0104034515847
Sleeper shark,2006,WY,WY200,12,1,3.6411148464781506,3.5812543683174813,-0.059860478160669306,3.510706395561661,0,18.264100405231193,24.16596143211177,0,78.0104034515847
Sleeper shark,2006,WY,WY300500,3,1,7.400350353904789,7.185142906797972,-0.21520744710681683,5.91819858038029,0,14.759123742977197,24.16596143211177,0,78.0104034515847
Sleeper shark,2007,AI,AI0,19,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2007,AI,AI100,44,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2007,AI,AI200,12,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2007,AI,AI300500,13,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2007,BS,BS0,30,1,112.05719008507344,114.3355850320163,2.2783949469428535,110.49459683814568,0,664.7719670310062,1041.0097597042316,568.3116988873799,2094.5306140131784
Sleeper shark,2007,BS,BS100,62,16,902.955742106097,904.2950034279168,1.3392613218197766,206.48617315310847,560.6865251494684,1377.5898512943945,1041.0097597042316,568.3116988873799,2094.5306140131784
Sleeper shark,2007,BS,BS200400,31,5,22.537820503681427,22.37917124429841,-0.15864925938301866,9.82845775782033,7.625173737911479,52.16879568777771,1041.0097597042316,568.3116988873799,2094.5306140131784
Sleeper shark,2007,BS,BS400600,9,0,0,0,0,0,0,0,1041.0097597042316,568.3116988873799,2094.5306140131784
Sleeper shark,2007,CGOA,CG0,118,16,187.58046133342944,186.93111987204495,-0.6493414613844948,57.43050151490036,99.7154096245963,345.46794577042516,1125.8090404337001,696.2337472687265,1799.0613519889441
Sleeper shark,2007,CGOA,CG100,185,42,745.1074376652125,741.484882157082,-3.6225555081305174,145.5625813433588,499.0912463315862,1087.1577420822275,1125.8090404337001,696.2337472687265,1799.0613519889441
Sleeper shark,2007,CGOA,CG200,77,16,198.65342467949276,197.3930384045733,-1.2603862749194548,62.763936072423604,97.42709131254394,366.4356641362915,1125.8090404337001,696.2337472687265,1799.0613519889441
Sleeper shark,2007,CGOA,CG300500,9,0,0,0,0,0,0,0,1125.8090404337001,696.2337472687265,1799.0613519889441
Sleeper shark,2007,EY/SE,EY/SE0,18,0,0,0,0,0,0,0,10.234466891929054,0,32.737673450452675
Sleeper shark,2007,EY/SE,EY/SE100,69,2,3.2232702952473318,3.2972407206952634,0.07397042544793164,2.230661707747862,0,9.710639399921046,10.234466891929054,0,32.737673450452675
Sleeper shark,2007,EY/SE,EY/SE200,22,2,6.937232917084126,6.937226171233791,-6.745850335221348e-6,5.037163872043001,0,23.02703405053163,10.234466891929054,0,32.737673450452675
Sleeper shark,2007,EY/SE,EY/SE300500,9,0,0,0,0,0,0,0,10.234466891929054,0,32.737673450452675
Sleeper shark,2007,WGOA,WG0,62,8,96.11612407104411,95.9109580147924,-0.2051660562517128,44.734123719725574,41.839281512367066,286.92340050034517,183.83523180267406,68.59990525271955,542.758691126273
Sleeper shark,2007,WGOA,WG100,50,9,60.07348074286897,60.34762153334967,0.2741407904806934,24.074443868260055,26.76062374035249,142.2589642002425,183.83523180267406,68.59990525271955,542.758691126273
Sleeper shark,2007,WGOA,WG200,5,1,28.207919360502345,27.576652254532,-0.6312671059703447,25.483913587480377,0,113.57632642568531,183.83523180267406,68.59990525271955,542.758691126273
Sleeper shark,2007,WGOA,WG300500,5,0,0,0,0,0,0,0,183.83523180267406,68.59990525271955,542.758691126273
Sleeper shark,2007,WY,WY0,20,0,0,0,0,0,0,0,36.28867078425729,7.667881815255098,97.5838807615452
Sleeper shark,2007,WY,WY100,39,4,30.70387943251674,31.285129407750812,0.5812499752340727,14.601189812431842,7.667881815255098,73.83865884654112,36.28867078425729,7.667881815255098,97.5838807615452
Sleeper shark,2007,WY,WY200,11,1,4.764493922275161,5.003541376506477,0.2390474542313159,4.631077004328145,0,23.745221915004073,36.28867078425729,7.667881815255098,97.5838807615452
Sleeper shark,2007,WY,WY300500,3,0,0,0,0,0,0,0,36.28867078425729,7.667881815255098,97.5838807615452
Sleeper shark,2008,AI,AI0,24,1,7.427357082738795,7.377321422871933,-0.05003565986686187,7.266515264341395,0,37.090702952143324,19.872017271997557,0,73.32712880139093
Sleeper shark,2008,AI,AI100,39,0,0,0,0,0,0,0,19.872017271997557,0,73.32712880139093
Sleeper shark,2008,AI,AI200,14,2,12.299703711995297,12.494695849125625,0.1949921371303276,8.002813196284533,0,36.23642584924761,19.872017271997557,0,73.32712880139093
Sleeper shark,2008,AI,AI300500,13,0,0,0,0,0,0,0,19.872017271997557,0,73.32712880139093
Sleeper shark,2008,BS,BS0,30,0,0,0,0,0,0,0,317.36838429335205,109.23635591020195,725.0006390386766
Sleeper shark,2008,BS,BS100,61,5,244.86016620412892,243.0348505501298,-1.8253156539991267,104.32507632720352,96.91045488329799,536.9240560295218,317.36838429335205,109.23635591020195,725.0006390386766
Sleeper shark,2008,BS,BS200400,28,5,28.791890778713174,28.379917707973142,-0.4119730707400322,12.203908204032576,12.325901026903969,65.76429538165057,317.36838429335205,109.23635591020195,725.0006390386766
Sleeper shark,2008,BS,BS400600,6,2,46.02339280560884,45.95361603524912,-0.06977677035972363,28.346333038549243,0,122.31228762750419,317.36838429335205,109.23635591020195,725.0006390386766
Sleeper shark,2008,CGOA,CG0,119,9,103.76325302013959,105.21554977441161,1.4522967542720266,38.702628838212526,49.19753988561226,218.1391012858776,748.5466045676293,458.6487697026506,1270.893234071334
Sleeper shark,2008,CGOA,CG100,180,34,422.06087343928215,420.94250255388135,-1.1183708854007932,88.26658956835433,282.9239430125199,647.0809666315639,748.5466045676293,458.6487697026506,1270.893234071334
Sleeper shark,2008,CGOA,CG200,79,17,219.14556971245975,217.51636280264972,-1.6292069098100228,60.14646885316571,126.52728680451844,384.8670216880302,748.5466045676293,458.6487697026506,1270.893234071334
Sleeper shark,2008,CGOA,CG300500,9,1,5.094105548957443,4.872189436686552,-0.2219161122708906,4.658782428304852,0,20.806144465862406,748.5466045676293,458.6487697026506,1270.893234071334
Sleeper shark,2008,EY/SE,EY/SE0,18,0,0,0,0,0,0,0,3.209170734676608,0.6691982288562328,8.723316287217253
Sleeper shark,2008,EY/SE,EY/SE100,67,4,2.345678265864498,2.3269479273334386,-0.01873033853105932,1.2444920140128408,0.6691982288562328,6.039574841975621,3.209170734676608,0.6691982288562328,8.723316287217253
Sleeper shark,2008,EY/SE,EY/SE200,23,2,0.8899850259843213,0.882222807343169,-0.00776221864115223,0.5993513361731704,0,2.683741445241633,3.209170734676608,0.6691982288562328,8.723316287217253
Sleeper shark,2008,EY/SE,EY/SE300500,10,0,0,0,0,0,0,0,3.209170734676608,0.6691982288562328,8.723316287217253
Sleeper shark,2008,WGOA,WG0,60,2,34.84000625169973,34.76736303652564,-0.07264321517408945,28.230452744203617,0,160.45994362266407,86.35818211167563,0,392.38081471866224
Sleeper shark,2008,WGOA,WG100,48,1,9.263508061578321,9.026577525290692,-0.2369305362876286,8.953350709590701,0,55.47724438109298,86.35818211167563,0,392.38081471866224
Sleeper shark,2008,WGOA,WG200,6,1,42.94593021264938,42.564241549859304,-0.38168866279007574,39.63834271746209,0,176.4436267149052,86.35818211167563,0,392.38081471866224
Sleeper shark,2008,WGOA,WG300500,5,0,0,0,0,0,0,0,86.35818211167563,0,392.38081471866224
Sleeper shark,2008,WY,WY0,19,1,6.317822664227466,6.183590735922623,-0.13423192830484343,6.196342395143543,0,34.89736684619988,20.690190360698473,0,82.31408875563847
Sleeper shark,2008,WY,WY100,38,0,0,0,0,0,0,0,20.690190360698473,0,82.31408875563847
Sleeper shark,2008,WY,WY200,11,2,14.138645637121096,14.506599624775848,0.3679539876547526,9.923987047671128,0,47.41672190943858,20.690190360698473,0,82.31408875563847
Sleeper shark,2008,WY,WY300500,2,0,0,0,0,0,0,0,20.690190360698473,0,82.31408875563847
Sleeper shark,2009,AI,AI0,25,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2009,AI,AI100,42,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2009,AI,AI200,13,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2009,AI,AI300500,14,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2009,BS,BS0,29,1,83.84755947570018,84.03330663167648,0.18574715597630131,81.64515938911062,0,419.12163824297653,918.5090120539289,506.662621175365,1761.9855228702754
Sleeper shark,2009,BS,BS100,60,18,732.823850879139,729.0841817414755,-3.739669137663441,152.00815764674354,487.48935004833635,1081.739173366864,918.5090120539289,506.662621175365,1761.9855228702754
Sleeper shark,2009,BS,BS200400,30,9,38.90837146168799,39.02507509069509,0.11670362900709819,12.71629011063607,19.173271127028684,71.90506883182913,918.5090120539289,506.662621175365,1761.9855228702754
Sleeper shark,2009,BS,BS400600,5,2,66.79785660757747,66.36644859008186,-0.4314080174956132,45.30758407846762,0,189.2196424286057,918.5090120539289,506.662621175365,1761.9855228702754
Sleeper shark,2009,CGOA,CG0,118,18,156.82137013916133,155.9754728921893,-0.8458972469720436,53.64647931949249,82.47024971923447,338.8926258592395,713.4093753145272,435.46270882568865,1280.0691278758118
Sleeper shark,2009,CGOA,CG100,182,42,369.54612506138085,370.1102589637391,0.5641339023582645,73.63760232157544,249.74476989722467,559.9379209060911,713.4093753145272,435.46270882568865,1280.0691278758118
Sleeper shark,2009,CGOA,CG200,70,24,188.05950774756954,187.3236434585988,-0.7358642889707312,62.73309868034626,103.24768920922949,381.23858111048116,713.4093753145272,435.46270882568865,1280.0691278758118
