"Year","Species.Code","FMP","sumRPN"
2009,150,"BSAI",0
2009,150,"GOA",0
2009,160,"BSAI",0
2009,160,"GOA",0
2009,222,"BSAI",0
2009,222,"GOA",0
2009,232,"BSAI",0
2009,232,"GOA",0
2009,310,"BSAI",38.25
2009,310,"GOA",44997.8649884882
2009,320,"BSAI",41.9817073170732
2009,320,"GOA",33.9387966797704
2009,351,"BSAI",0
2009,351,"GOA",0
2010,150,"BSAI",0
2010,150,"GOA",0
2010,160,"BSAI",0
2010,160,"GOA",0
2010,222,"BSAI",0
2010,222,"GOA",0
2010,232,"BSAI",0
2010,232,"GOA",0
2010,310,"BSAI",0
2010,310,"GOA",26243.2559291992
2010,320,"BSAI",0
2010,320,"GOA",1186.63458653939
2010,351,"BSAI",0
2010,351,"GOA",0
2011,150,"BSAI",0
2011,150,"GOA",0
2011,160,"BSAI",0
2011,160,"GOA",0
2011,222,"BSAI",0
2011,222,"GOA",0
2011,232,"BSAI",0
2011,232,"GOA",0
2011,310,"BSAI",0
2011,310,"GOA",25654.5021542921
2011,320,"BSAI",33.9526414410058
2011,320,"GOA",253.125217567586
2011,351,"BSAI",0
2011,351,"GOA",0
2012,150,"BSAI",0
2012,150,"GOA",0
2012,160,"BSAI",0
2012,160,"GOA",0
2012,222,"BSAI",0
2012,222,"GOA",0
2012,232,"BSAI",0
2012,232,"GOA",0
2012,310,"BSAI",0
2012,310,"GOA",23154.2810026368
2012,320,"BSAI",0
2012,320,"GOA",127.963346358671
2012,351,"BSAI",0
2012,351,"GOA",0
2013,150,"BSAI",0
2013,150,"GOA",0
2013,160,"BSAI",0
2013,160,"GOA",0
2013,222,"BSAI",0
2013,222,"GOA",0
2013,232,"BSAI",0
2013,232,"GOA",0
2013,310,"BSAI",0
2013,310,"GOA",9564.3360026186
2013,320,"BSAI",70.9707792207792
2013,320,"GOA",88.603026534819
2013,351,"BSAI",0
2013,351,"GOA",0
2014,150,"BSAI",0
2014,150,"GOA",0
2014,160,"BSAI",0
2014,160,"GOA",0
2014,222,"BSAI",0
2014,222,"GOA",0
2014,232,"BSAI",0
2014,232,"GOA",0
2014,310,"BSAI",6.58854166666667
2014,310,"GOA",59188.6812667143
2014,320,"BSAI",0
2014,320,"GOA",82.5295105432203
2014,351,"BSAI",0
2014,351,"GOA",9.49107142857143
2015,150,"BSAI",0
2015,150,"GOA",0
2015,160,"BSAI",0
2015,160,"GOA",0
2015,222,"BSAI",0
2015,222,"GOA",0
2015,232,"BSAI",0
2015,232,"GOA",0
2015,310,"BSAI",0
2015,310,"GOA",26463.1345820784
2015,320,"BSAI",67.2394540942928
2015,320,"GOA",41.2937977719954
2015,351,"BSAI",0
2015,351,"GOA",24.2160204991087
2016,150,"BSAI",0
2016,150,"GOA",0
2016,160,"BSAI",0
2016,160,"GOA",0
2016,222,"BSAI",0
2016,222,"GOA",0
2016,232,"BSAI",0
2016,232,"GOA",0
2016,310,"BSAI",0
2016,310,"GOA",27591.8216273604
2016,320,"BSAI",0
2016,320,"GOA",0
2016,351,"BSAI",0
2016,351,"GOA",0
2017,150,"BSAI",0
2017,150,"GOA",0
2017,160,"BSAI",0
2017,160,"GOA",0
2017,222,"BSAI",0
2017,222,"GOA",0
2017,232,"BSAI",0
2017,232,"GOA",0
2017,310,"BSAI",0
2017,310,"GOA",45079.8940829467
2017,320,"BSAI",0
2017,320,"GOA",228.716528512982
2017,351,"BSAI",0
2017,351,"GOA",4.18092948717949
2018,150,"BSAI",0
2018,150,"GOA",0
2018,160,"BSAI",0
2018,160,"GOA",0
2018,222,"BSAI",0
2018,222,"GOA",0
2018,232,"BSAI",0
2018,232,"GOA",0
2018,310,"BSAI",5.75
2018,310,"GOA",20095.9972104744
2018,320,"BSAI",0
2018,320,"GOA",52.3134444764267
2018,351,"BSAI",0
2018,351,"GOA",9.58978174603175
2019,150,"BSAI",0
2019,150,"GOA",0
2019,160,"BSAI",0
2019,160,"GOA",0
2019,222,"BSAI",0
2019,222,"GOA",0
2019,232,"BSAI",0
2019,232,"GOA",0
2019,310,"BSAI",0
2019,310,"GOA",43781.9603939561
2019,320,"BSAI",105.305127768797
2019,320,"GOA",219.959620409024
2019,351,"BSAI",0
2019,351,"GOA",0
2020,150,"BSAI",0
2020,150,"GOA",0
2020,160,"BSAI",0
2020,160,"GOA",0
2020,222,"BSAI",0
2020,222,"GOA",0
2020,232,"BSAI",0
2020,232,"GOA",0
2020,310,"BSAI",0
2020,310,"GOA",24749.3969120552
2020,320,"BSAI",0
2020,320,"GOA",3.06707317073171
2020,351,"BSAI",0
2020,351,"GOA",158.162997762878
