species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Spiny dogfish,2004,AI,AI100,37,3,5.764329207680464,5.84809428375835,0.08376507607788586,4.148680298235617,0.8379483802924618,23.587606720130402,17.901133880520447,1.9401567901261778,62.020196194095156
Spiny dogfish,2004,AI,AI200,16,0,0,0,0,0,0,0,17.901133880520447,1.9401567901261778,62.020196194095156
Spiny dogfish,2004,AI,AI300500,13,0,0,0,0,0,0,0,17.901133880520447,1.9401567901261778,62.020196194095156
Spiny dogfish,2004,BS,BS0,3,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2004,BS,BS100,59,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2004,BS,BS200400,32,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2004,BS,BS400600,9,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2004,CGOA,CG0,114,45,2569.8536567461683,2589.8507758473856,19.997119101217322,506.3422234146561,1700.5625012584853,3677.375821951134,6676.117057733916,4660.302339138149,9430.901025657304
Spiny dogfish,2004,CGOA,CG100,182,85,3499.5357358024808,3500.5870895152902,1.0513537128094868,488.53649019160883,2686.6328574888025,4624.757007591071,6676.117057733916,4660.302339138149,9430.901025657304
Spiny dogfish,2004,CGOA,CG200,65,15,580.7386905926994,585.6791923712399,4.940501778540465,195.8888429885756,273.10698039086145,1128.7681961150993,6676.117057733916,4660.302339138149,9430.901025657304
Spiny dogfish,2004,CGOA,CG300500,8,0,0,0,0,0,0,0,6676.117057733916,4660.302339138149,9430.901025657304
Spiny dogfish,2004,EY/SE,EY/SE0,17,12,1964.6934940403623,1950.5510733299539,-14.142420710408487,486.20001351189376,976.6873675412404,2895.82865157141,4668.414975964781,2932.3158103266924,6704.125540295532
Spiny dogfish,2004,EY/SE,EY/SE100,65,51,2617.404962653943,2612.3298766874354,-5.075085966507686,402.8974729939583,1913.7393617302669,3470.3452155921145,4668.414975964781,2932.3158103266924,6704.125540295532
Spiny dogfish,2004,EY/SE,EY/SE200,23,9,100.31022850535588,101.81181651336745,1.5015880080115664,50.47979550436407,41.889081055185315,323.74830094371737,4668.414975964781,2932.3158103266924,6704.125540295532
Spiny dogfish,2004,EY/SE,EY/SE300500,9,1,3.8110047742392013,3.722209434024241,-0.08879534021496038,3.4906651831297304,0,14.203372188290643,4668.414975964781,2932.3158103266924,6704.125540295532
Spiny dogfish,2004,WGOA,WG0,59,8,53.65323340443836,53.604203792291344,-0.04902961214701662,18.981235422322037,26.470184779373565,102.3127824449622,67.96381747381331,31.020269168429927,138.74499294662795
Spiny dogfish,2004,WGOA,WG100,54,5,11.421358390377625,11.341237873836342,-0.08012051654128349,4.859515743215169,4.550084389056361,22.910739750418347,67.96381747381331,31.020269168429927,138.74499294662795
Spiny dogfish,2004,WGOA,WG200,8,1,2.9543178561471155,3.0183758076856275,0.06405795153851201,2.7774850344821154,0,13.521470751247406,67.96381747381331,31.020269168429927,138.74499294662795
Spiny dogfish,2004,WGOA,WG300500,5,0,0,0,0,0,0,0,67.96381747381331,31.020269168429927,138.74499294662795
Spiny dogfish,2004,WY,WY0,19,19,5920.243872160592,5905.354131733247,-14.889740427344805,664.8726522646255,4537.285542998715,7104.4507003164845,15906.15365560917,12236.904261426609,19463.825831094604
Spiny dogfish,2004,WY,WY100,41,39,8979.196542387295,8981.54816723399,2.3516248466949037,942.6071909844973,7077.520001052849,10832.802417049867,15906.15365560917,12236.904261426609,19463.825831094604
Spiny dogfish,2004,WY,WY200,12,12,989.030866440436,983.8827462937921,-5.148120146643805,210.72190929617858,622.0987173750456,1456.2874157150063,15906.15365560917,12236.904261426609,19463.825831094604
Spiny dogfish,2004,WY,WY300500,3,1,35.25940199335548,35.368610348140486,0.10920835478500379,28.758077501353927,0,70.28529801324503,15906.15365560917,12236.904261426609,19463.825831094604
Spiny dogfish,2005,AI,AI0,23,0,0,0,0,0,0,0,2.9080587716510564,0,14.517340808089914
