"Year","Source","FMP","Survey","Volume"
1990,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",4
1991,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",18
1992,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",55
1993,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",75
1994,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",111
1995,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",0
1996,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",3
1997,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",59
1998,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",1
1999,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",20
2000,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",2
2001,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",12
2002,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",1
2003,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",22
2004,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",3
2005,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",6
2006,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",3
